,EDF,ES,standardaware,standard
0,"(0.06, 0.46270478140345483, 94.28535330658198, 203.76999999999998)","(0.2, 0.5200633410520296, 105.97330700617206, 203.76999999999998)","(0.0, 0.5834779058948619, 118.89529288419601, 203.76999999999998)","(0.0, 0.559428938435608, 113.99483478502384, 203.76999999999998)"
1,"(0.08, 0.5244552036900763, 110.22475015954332, 210.17)","(0.2, 0.5142236938828378, 108.07439374335601, 210.17)","(0.0, 0.5819117677523454, 122.30039622851044, 210.17)","(0.0, 0.5773940043078286, 121.35089788537634, 210.17)"
2,"(0.08, 0.5031473440836737, 105.74647730606569, 210.17)","(0.18, 0.5132773990295956, 107.8755109540501, 210.17)","(0.0, 0.5779011666499, 121.45748819480947, 210.17)","(0.0, 0.5690947203348113, 119.6066373727673, 210.17)"
3,"(0.06, 0.4618401362404268, 97.03261262411367, 210.1)","(0.16, 0.5104080277433697, 107.23672662888197, 210.1)","(0.0, 0.5694048845527014, 119.63196624452256, 210.1)","(0.0, 0.5486911529335486, 115.28001123133858, 210.1)"
4,"(0.0, 0.43803101975005176, 87.99605155758789, 200.89)","(0.18, 0.5296840720571894, 106.40823323556877, 200.89)","(0.0, 0.5879178292835541, 118.10681272477316, 200.89)","(0.0, 0.5540243538314606, 111.29795244120213, 200.89)"
5,"(0.0, 0.4397441653247787, 78.7977569845471, 179.19000000000003)","(0.22, 0.5769493244797276, 103.38354945352239, 179.19000000000003)","(0.0, 0.6456517569675971, 115.69433833102374, 179.19000000000003)","(0.0, 0.5921210696681733, 106.10217447384, 179.19000000000003)"
