,EDF,ES,standardaware,standard
0,"(0.34, 0.4726302624747618, 94.80490434981247, 200.59)","(0.06, 0.6582008213579091, 132.028502756183, 200.59)","(0.06, 0.660861397151142, 132.56218765454759, 200.59)","(0.06, 0.6610782803331763, 132.60569225203184, 200.59)"
1,"(0.42, 0.5503659505946522, 114.0193139846941, 207.17)","(0.1, 0.6441366765160039, 133.44579527382052, 207.17)","(0.08, 0.6467140853463206, 133.97975706119723, 207.17)","(0.08, 0.6466769431797195, 133.97206231854247, 207.17)"
2,"(0.38, 0.5266744490794234, 109.11114561578414, 207.17)","(0.1, 0.6426139834418707, 133.13033894965236, 207.17)","(0.08, 0.6450931341801857, 133.64394460810905, 207.17)","(0.08, 0.6450291581953425, 133.6306907033291, 207.17)"
3,"(0.36, 0.47780893753459747, 98.96856523154116, 207.12999999999997)","(0.08, 0.6393683692420533, 132.43237032110648, 207.12999999999997)","(0.06, 0.6418120441232563, 132.93852869925007, 207.12999999999997)","(0.06, 0.6418485585901165, 132.9460919407708, 207.12999999999997)"
4,"(0.32, 0.4488388271604982, 89.45357825308729, 199.29999999999998)","(0.06, 0.6608234837988283, 131.70212032110646, 199.29999999999998)","(0.06, 0.6633817671764564, 132.21198619826774, 199.29999999999998)","(0.06, 0.6634196239167436, 132.219531046607, 199.29999999999998)"
5,"(0.32, 0.4532099555948835, 80.86625237679505, 178.42999999999998)","(0.08, 0.7315975072110097, 130.53894321166044, 178.42999999999998)","(0.06, 0.7344107483593947, 131.04090982976678, 178.42999999999998)","(0.06, 0.7344642320526577, 131.0504529251557, 178.42999999999998)"
