,EDF,ES,standardaware,standard
0,"(0.12, 0.5408615307055298, 113.35916822057197, 209.58999999999997)","(0.22, 0.5215156988629773, 109.3044753246914, 209.58999999999997)","(0.06, 0.819363602196071, 171.7304173842745, 209.58999999999997)","(0.04, 0.7896988352725629, 165.51297888477643, 209.58999999999997)"
1,"(0.16, 0.594173952180734, 127.80087537455407, 215.09)","(0.24, 0.5135564085997499, 110.46084792572022, 215.09)","(0.08, 0.8341197278713335, 179.41081226784513, 215.09)","(0.08, 0.8274700586459741, 177.98053491416258, 215.09)"
2,"(0.16, 0.5726115403031611, 123.16301620380692, 215.09)","(0.22, 0.5131697628166157, 110.3776842842259, 215.09)","(0.08, 0.8237222694066433, 177.1744229266749, 215.09)","(0.06, 0.8098954896951418, 174.20042087852806, 215.09)"
3,"(0.1, 0.5263621862955329, 113.20471540658026, 215.07)","(0.22, 0.5123550031814101, 110.19219053422589, 215.07)","(0.04, 0.7997426328758336, 172.00064805260553, 215.07)","(0.04, 0.7688647521721458, 165.35974224966338, 215.07)"
4,"(0.08, 0.5005506128972658, 103.25358042844799, 206.28)","(0.22, 0.5265911442668375, 108.62522123936324, 206.28)","(0.04, 0.8049155424420668, 166.03797809494952, 206.28)","(0.04, 0.7531968931229003, 155.36945511339187, 206.28)"
5,"(0.06, 0.511220746140724, 93.11885890953288, 182.15)","(0.24, 0.5676938409162606, 103.40543312289688, 182.15)","(0.3, 0.8721853245100842, 158.86855685951184, 182.15)","(0.18, 0.8054322600676005, 146.70948617131344, 182.15)"
