,EDF,ES,standardaware,standard
0,"(0.32, 0.6054701974385207, 126.71280291993361, 209.28)","(0.32, 0.6913413466005452, 144.6839170165621, 209.28)","(0.68, 0.9460022947407247, 197.97936024333887, 209.28)","(0.68, 0.9455295271890686, 197.88041945012827, 209.28)"
1,"(0.4, 0.6755071437001728, 145.33536196709218, 215.14999999999998)","(0.3, 0.6874624342506331, 147.9075427290237, 215.14999999999998)","(0.68, 0.9336333278106589, 200.87121047846324, 215.14999999999998)","(0.68, 0.9334993082429659, 200.8423761684741, 215.14999999999998)"
2,"(0.36, 0.646455191866422, 139.08483453006068, 215.14999999999998)","(0.3, 0.6871322649674102, 147.8365068077383, 215.14999999999998)","(0.68, 0.9311587692952555, 200.3388092138742, 215.14999999999998)","(0.68, 0.9309731841938697, 200.29888057931103, 215.14999999999998)"
3,"(0.26, 0.5853749226175402, 125.93170710271141, 215.12999999999997)","(0.28, 0.6857306738311041, 147.5212398612854, 215.12999999999997)","(0.66, 0.9247120037922478, 198.93329337582625, 215.12999999999997)","(0.66, 0.924139059474883, 198.81003586483155, 215.12999999999997)"
4,"(0.24, 0.5530322769481643, 114.1182103482537, 206.35)","(0.32, 0.7084970581175759, 146.1983679425618, 206.35)","(0.66, 0.945870824585787, 195.18044465327714, 206.35)","(0.66, 0.9455444362783497, 195.11309442603746, 206.35)"
5,"(0.2, 0.5661618597459919, 102.70176135792292, 181.39999999999998)","(0.42, 0.7703708812750759, 139.74527786329875, 181.39999999999998)","(0.96, 0.9967916426868637, 180.81800398339706, 181.39999999999998)","(0.96, 0.9967916356098153, 180.81800269962048, 181.39999999999998)"
