,EDF,ES,standardaware,standard
0,"(0.4, 0.773470799215346, 150.61796873120431, 194.73)","(0.44, 0.7792479809198974, 151.74295932453163, 194.73)","(0.62, 0.8756993843514966, 170.52494111476693, 194.73)","(0.62, 0.8744051192355718, 170.2729088687429, 194.73)"
1,"(0.6, 0.8735699809078753, 174.27721119112113, 199.5)","(0.48, 0.7769709734453365, 155.00570920234463, 199.5)","(0.66, 0.8842437419805729, 176.4066265251243, 199.5)","(0.66, 0.8838761440483289, 176.33329073764162, 199.5)"
2,"(0.54, 0.8451735849988236, 168.6121302072653, 199.5)","(0.46, 0.7754484664554271, 154.7019690578577, 199.5)","(0.66, 0.8799719966598164, 175.55441333363336, 199.5)","(0.64, 0.8793376804297944, 175.42786724574398, 199.5)"
3,"(0.44, 0.7814462119825332, 155.89070482839554, 199.49)","(0.46, 0.7720648807186756, 154.0192230545686, 199.49)","(0.6, 0.8691065479366452, 173.37806524788135, 199.49)","(0.56, 0.8675342631327799, 173.06441015235828, 199.49)"
4,"(0.38, 0.7460956932411352, 143.01908343739322, 191.69)","(0.46, 0.7834248469753621, 150.17470891670715, 191.69)","(0.58, 0.8767641164898482, 168.066913489939, 191.69)","(0.56, 0.8731629618503203, 167.3766081570879, 191.69)"
5,"(0.32, 0.7471211508744825, 129.237016678268, 172.98000000000002)","(0.5, 0.8262940593038596, 142.93234637838165, 172.98000000000002)","(0.6, 0.911623532290873, 157.69263861567524, 172.98000000000002)","(0.58, 0.9069756923321605, 156.88865525961714, 172.98000000000002)"
