,EDF,ES,standardaware,standard
0,"(0.4, 0.773470799215346, 150.61796873120431, 194.73)","(0.44, 0.7792479809198974, 151.74295932453163, 194.73)","(0.52, 0.9082473235733738, 176.86300131944307, 194.73)","(0.38, 0.887134039098418, 172.75161143363493, 194.73)"
1,"(0.6, 0.8735699809078753, 174.27721119112113, 199.5)","(0.48, 0.7769709734453365, 155.00570920234463, 199.5)","(0.58, 0.9369485673148349, 186.92123917930957, 199.5)","(0.54, 0.9307878650430498, 185.69217907608842, 199.5)"
2,"(0.54, 0.8451735849988236, 168.6121302072653, 199.5)","(0.46, 0.7754484664554271, 154.7019690578577, 199.5)","(0.56, 0.9280819317718368, 185.15234538848145, 199.5)","(0.48, 0.9171486026074838, 182.97114622019302, 199.5)"
3,"(0.44, 0.7814462119825332, 155.89070482839554, 199.49)","(0.46, 0.7720648807186756, 154.0192230545686, 199.49)","(0.48, 0.9045282515025043, 180.44434089223458, 199.49)","(0.4, 0.8834917754975959, 176.24777429401541, 199.49)"
4,"(0.38, 0.7460956932411352, 143.01908343739322, 191.69)","(0.46, 0.7834248469753621, 150.17470891670715, 191.69)","(0.5, 0.9027102317004577, 173.04052431466073, 191.69)","(0.32, 0.874466040093653, 167.62639522555236, 191.69)"
5,"(0.32, 0.7471211508744825, 129.237016678268, 172.98000000000002)","(0.5, 0.8262940593038596, 142.93234637838165, 172.98000000000002)","(0.46, 0.9155539358262064, 158.3725198192172, 172.98000000000002)","(0.44, 0.8984385917918265, 155.41190760815016, 172.98000000000002)"
