,EDF,ES,standardaware,standard
0,"(0.12, 0.5408615307055298, 113.35916822057197, 209.58999999999997)","(0.22, 0.5215156988629773, 109.3044753246914, 209.58999999999997)","(0.52, 0.782237475454938, 163.94915248060045, 209.58999999999997)","(0.5, 0.7804560861879777, 163.57579110413823, 209.58999999999997)"
1,"(0.16, 0.594173952180734, 127.80087537455407, 215.09)","(0.24, 0.5135564085997499, 110.46084792572022, 215.09)","(0.54, 0.7816374328713409, 168.12239543629673, 215.09)","(0.52, 0.7810994527503986, 168.00668129208324, 215.09)"
2,"(0.16, 0.5726115403031611, 123.16301620380692, 215.09)","(0.22, 0.5131697628166157, 110.3776842842259, 215.09)","(0.52, 0.7782135570341028, 167.38595398246517, 215.09)","(0.5, 0.777445837860482, 167.2208252654111, 215.09)"
3,"(0.1, 0.5263621862955329, 113.20471540658026, 215.07)","(0.22, 0.5123550031814101, 110.19219053422589, 215.07)","(0.5, 0.7700772102873401, 165.62050561649824, 215.07)","(0.48, 0.768011798823033, 165.17629757286971, 215.07)"
4,"(0.08, 0.5005506128972658, 103.25358042844799, 206.28)","(0.22, 0.5265911442668375, 108.62522123936324, 206.28)","(0.52, 0.7839285983102278, 161.70879125943378, 206.28)","(0.48, 0.7812857123698628, 161.16361674765528, 206.28)"
5,"(0.06, 0.511220746140724, 93.11885890953288, 182.15)","(0.24, 0.5676938409162606, 103.40543312289688, 182.15)","(0.54, 0.8352355489875467, 152.13815524808163, 182.15)","(0.52, 0.8331769470095659, 151.76318089779244, 182.15)"
