,EDF,ES,standardaware,standard
0,"(0.06, 0.46270478140345483, 94.28535330658198, 203.76999999999998)","(0.2, 0.5200633410520296, 105.97330700617206, 203.76999999999998)","(0.14, 0.5613935076823924, 114.39515506044108, 203.76999999999998)","(0.14, 0.5613383595299534, 114.38391752141858, 203.76999999999998)"
1,"(0.08, 0.5244552036900763, 110.22475015954332, 210.17)","(0.2, 0.5142236938828378, 108.07439374335601, 210.17)","(0.16, 0.5559042123273917, 116.8343883048479, 210.17)","(0.16, 0.5557783472026513, 116.80793523158123, 210.17)"
2,"(0.08, 0.5031473440836737, 105.74647730606569, 210.17)","(0.18, 0.5132773990295956, 107.8755109540501, 210.17)","(0.14, 0.5537537782263443, 116.38243156983077, 210.17)","(0.14, 0.5536302075372699, 116.35646071810801, 210.17)"
3,"(0.06, 0.4618401362404268, 97.03261262411367, 210.1)","(0.16, 0.5104080277433697, 107.23672662888197, 210.1)","(0.14, 0.5489695113789144, 115.3384943407099, 210.1)","(0.14, 0.5489391544312426, 115.33211634600409, 210.1)"
4,"(0.0, 0.43803101975005176, 87.99605155758789, 200.89)","(0.18, 0.5296840720571894, 106.40823323556877, 200.89)","(0.14, 0.5679694671353877, 114.09938625282803, 200.89)","(0.14, 0.5677864498136947, 114.06261990307314, 200.89)"
5,"(0.0, 0.4397441653247787, 78.7977569845471, 179.19000000000003)","(0.22, 0.5769493244797276, 103.38354945352239, 179.19000000000003)","(0.2, 0.6244239534886353, 111.89052822562857, 179.19000000000003)","(0.2, 0.6239605414503039, 111.80748942247997, 179.19000000000003)"
